"","Sample","URoAClass","Location","Strat","Group"
"WS14.1","WS14.1","High","Proximal","High","Med"
"WS18.1","WS18.1","High","Proximal","High","High"
"WS21.1","WS21.1","High","Proximal","High","High"
"WS27.1","WS27.1","High","Proximal","High","High"
"WS32.1","WS32.1","High","Proximal","High","High"
"WS37.1","WS37.1","High","Proximal","High","High"
"WS38.1","WS38.1","High","Proximal","High","High"
"WS39.1","WS39.1","High","Proximal","High","High"
"WS40.1","WS40.1","High","Proximal","High","High"
"WS42.1","WS42.1","High","Proximal","High","High"
"WS43.1","WS43.1","High","Proximal","High","High"
"WS9.1","WS9.1","High","Proximal","High","High"
"WS12.1","WS12.1","Low","Proximal","Low","Low"
"WS17.1","WS17.1","Low","Proximal","Low","Low"
"WS2.1","WS2.1","Low","Proximal","Low","Low"
"WS23.1","WS23.1","Low","Proximal","Low","Low"
"WS24.1","WS24.1","Low","Proximal","Low","Low"
"WS33.1","WS33.1","Low","Proximal","Low","Low"
"WS34.1","WS34.1","Low","Proximal","Low","Low"
"WS36.1","WS36.1","Low","Proximal","Low","Low"
"WS4.1","WS4.1","Low","Proximal","Low","Low"
"WS5.1","WS5.1","Low","Proximal","Low","Low"
"WS6.1","WS6.1","Low","Proximal","Low","Low"
"WS8.1","WS8.1","Low","Proximal","Low","Low"
"WS1.1","WS1.1","Med","Proximal","Low","Low"
"WS11.1","WS11.1","Med","Proximal","High","Low"
"WS13.1","WS13.1","Med","Proximal","High","Low"
"WS16.1","WS16.1","Med","Proximal","Low","Med"
"WS20.1","WS20.1","Med","Proximal","Low","Low"
"WS22.1","WS22.1","Med","Proximal","Low","Med"
"WS29.1","WS29.1","Med","Proximal","Low","Med"
"WS30.1","WS30.1","Med","Proximal","High","Med"
"WS31.1","WS31.1","Med","Proximal","Low","Med"
"WS41.1","WS41.1","Med","Proximal","Low","Med"
"WS44.1","WS44.1","Med","Proximal","Low","Med"
"WS45.1","WS45.1","Med","Proximal","High","Med"
"WS46.1","WS46.1","Med","Proximal","Low","Med"
"WS7.1","WS7.1","Med","Proximal","Low","Med"
