"","Sample","URoAClass","Location"
"WS14.1","WS14.1","High","Proximal"
"WS14.2","WS14.2","High","Distal"
"WS18.1","WS18.1","High","Proximal"
"WS18.2","WS18.2","High","Distal"
"WS21.1","WS21.1","High","Proximal"
"WS21.2","WS21.2","High","Distal"
"WS27.1","WS27.1","High","Proximal"
"WS27.2","WS27.2","High","Distal"
"WS32.1","WS32.1","High","Proximal"
"WS32.2","WS32.2","High","Distal"
"WS37.1","WS37.1","High","Proximal"
"WS37.2","WS37.2","High","Distal"
"WS38.1","WS38.1","High","Proximal"
"WS38.2","WS38.2","High","Distal"
"WS39.1","WS39.1","High","Proximal"
"WS39.2","WS39.2","High","Distal"
"WS40.1","WS40.1","High","Proximal"
"WS40.2","WS40.2","High","Distal"
"WS42.1","WS42.1","High","Proximal"
"WS42.2","WS42.2","High","Distal"
"WS43.1","WS43.1","High","Proximal"
"WS43.2","WS43.2","High","Distal"
"WS9.1","WS9.1","High","Proximal"
"WS9.2","WS9.2","High","Distal"
"WS12.1","WS12.1","Low","Proximal"
"WS12.2","WS12.2","Low","Distal"
"WS17.1","WS17.1","Low","Proximal"
"WS17.2","WS17.2","Low","Distal"
"WS2.1","WS2.1","Low","Proximal"
"WS2.2","WS2.2","Low","Distal"
"WS23.1","WS23.1","Low","Proximal"
"WS23.2","WS23.2","Low","Distal"
"WS24.1","WS24.1","Low","Proximal"
"WS24.2","WS24.2","Low","Distal"
"WS33.1","WS33.1","Low","Proximal"
"WS33.2","WS33.2","Low","Distal"
"WS34.1","WS34.1","Low","Proximal"
"WS34.2","WS34.2","Low","Distal"
"WS36.1","WS36.1","Low","Proximal"
"WS36.2","WS36.2","Low","Distal"
"WS4.1","WS4.1","Low","Proximal"
"WS4.2","WS4.2","Low","Distal"
"WS47.2","WS47.2","Low","Distal"
"WS5.1","WS5.1","Low","Proximal"
"WS5.2","WS5.2","Low","Distal"
"WS6.1","WS6.1","Low","Proximal"
"WS6.2","WS6.2","Low","Distal"
"WS8.1","WS8.1","Low","Proximal"
"WS8.2","WS8.2","Low","Distal"
